1,600,833
1,-239,-854
1,1348,622
1,78,-428
1,158,-163
0,-600,-833
0,239,854
0,-1348,-622
0,-78,428
0,-158,163
1,1945,10
0,-1945,-10
1,1488,1039
1,863,594
1,627,-938
1,1274,890
1,-18,154
0,-1488,-1039
0,-863,-594
0,-627,938
0,-1274,-890
0,18,-154
1,4234,1739
0,-4234,-1739
0,-442,-305
0,-325,-604
0,-447,-345
0,-756,-855
0,-344,-236
1,442,305
1,325,604
1,447,345
1,756,855
1,344,236
0,-2314,-2345
1,2314,2345
0,548,-355
0,-275,-620
0,78,161
0,-110,-113
0,-202,-623
1,-548,355
1,275,620
1,-78,-161
1,110,113
1,202,623
0,39,-1550
1,-39,1550
0,-1116,108
0,-137,121
0,-251,-184
0,30,239
0,59,594
1,1116,-108
1,137,-121
1,251,184
1,-30,-239
1,-59,-594
0,-1415,878
1,1415,-878
1,363,-891
1,517,984
1,62,-31
1,213,-304
1,627,-409
0,-363,891
0,-517,-984
0,-62,31
0,-213,304
0,-627,409
1,1782,-651
0,-1782,651
0,-296,-448
0,310,927
0,-462,11
0,-603,-155
0,-419,-914
1,296,448
1,-310,-927
1,462,-11
1,603,155
1,419,914
0,-1470,-579
1,1470,579
1,1817,316
1,253,460
1,158,-83
1,848,862
1,-65,321
0,-1817,-316
0,-253,-460
0,-158,83
0,-848,-862
0,65,-321
1,3011,1876
0,-3011,-1876
1,-425,40
1,437,563
1,615,-80
1,-535,-1257
1,308,122
0,425,-40
0,-437,-563
0,-615,80
0,535,1257
0,-308,-122
1,400,-612
0,-400,612
1,-1231,-973
1,337,454
1,528,-507
1,-662,563
1,391,-411
0,1231,973
0,-337,-454
0,-528,507
0,662,-563
0,-391,411
1,-637,-874
0,637,874
1,778,693
1,-333,-251
1,930,263
1,15,250
1,211,374
0,-778,-693
0,333,251
0,-930,-263
0,-15,-250
0,-211,-374
1,1601,1329
0,-1601,-1329
0,-172,-267
0,132,729
0,208,815
0,-687,148
0,110,-1004
1,172,267
1,-132,-729
1,-208,-815
1,687,-148
1,-110,1004
0,-409,421
1,409,-421
1,244,448
1,-152,-910
1,-911,-893
1,606,1385
1,831,561
0,-244,-448
0,152,910
0,911,893
0,-606,-1385
0,-831,-561
1,618,591
0,-618,-591
1,535,220
1,-1576,-2253
1,-1416,-1052
1,-222,-97
1,123,658
0,-535,-220
0,1576,2253
0,1416,1052
0,222,97
0,-123,-658
1,-2556,-2524
0,2556,2524
0,-881,-1354
0,-948,-359
0,-1708,-573
0,-720,-1590
0,-508,-27
1,881,1354
1,948,359
1,1708,573
1,720,1590
1,508,27
0,-4765,-3903
1,4765,3903
1,574,623
1,-694,-1031
1,-176,-1096
1,8,668
1,-52,-1237
0,-574,-623
0,694,1031
0,176,1096
0,-8,-668
0,52,1237
1,-340,-2073
0,340,2073
0,1567,828
0,656,779
0,-531,-994
0,128,-702
0,736,376
1,-1567,-828
1,-656,-779
1,531,994
1,-128,702
1,-736,-376
0,2556,287
1,-2556,-287
